query_id,treatment_id,parent_node,Async Capable,Parent Relationship,Parallel Aware,Node Type,Plan Rows,Output,input_rows,output_rows,left_child_input_actual_rows,left_child_input_rows,right_child_input_actual_rows,right_child_input_rows,execution_time,Actual Loops,Shared Read Blocks,Self Shared Read Blocks,Self Shared Hit Blocks,Temp Read Blocks,Temp Written Blocks,Peak Memory Usage,Original Hash Buckets,Original Hash Batches,shared_read_blocks_log,run_id,execution_log_time,dbname,data_folder_name
952,0,Hash Join,False,Inner,False,Hash,952172,"['users.id', 'users.displayname']",952172,952172,952172,952172,0.0,0.0,419.65671428571426,1.0,22739.0,0.0,0.0,0.0,3659.0,60.0,2048.0,1024.0,4.356790460351716,0,2.6239278252710374,mathso,ce_mathso
952,6,Hash Join,False,Inner,False,Hash,952172,"['users.id', 'users.displayname']",952172,952172,952172,952172,0.0,0.0,235.315,1.0,22739.0,0.0,0.0,0.0,2059.0,30289.0,1048576.0,2.0,4.356790460351716,0,2.373491289175637,mathso,ce_mathso
1080,0,Hash Join,False,Inner,False,Hash,3557569,"['posts.owneruserid', 'posts.id']",3557569,3557569,3557569,3557569,0.0,0.0,2260.2855,1.0,60169.0,0.0,0.0,0.0,9488.0,51.0,2048.0,4096.0,4.779380011491656,0,3.3543553979256204,mathso,ce_mathso
1080,6,Hash Join,False,Inner,False,Hash,3557569,"['posts.owneruserid', 'posts.id']",3557569,3557569,3557569,3557569,0.0,0.0,665.8473333333333,1.0,60169.0,0.0,0.0,0.0,10574.0,33685.0,2097152.0,8.0,4.779380011491656,0,2.8240264188042845,mathso,ce_mathso
1675,0,Hash Join,False,Inner,False,Hash,1,['t.id'],0,0,0,1,0.0,0.0,0.003999999999999966,1.0,16.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,1.2304489213782739,0,0.0017337128090005312,mathso,ce_mathso
1675,0,Hash Join,False,Inner,False,Hash,1065,"['posts.body', 'posts.id', 'pa.id']",0,0,0,1065,0.0,0.0,0.001,1.0,18.0,0.0,0.0,0.0,0.0,8.0,1024.0,2.0,1.2787536009528289,0,0.0004340774793185929,mathso,ce_mathso
1675,0,Hash Join,False,Inner,False,Hash,1874,['pt.postid'],0,0,0,1874,0.0,0.0,0.0003333333333332667,1.0,17.0,0.0,0.0,0.0,0.0,16.0,2048.0,2.0,1.255272505103306,0,0.00014474070519017137,mathso,ce_mathso
1675,0,Hash Join,False,Inner,False,Hash,3241,"['pt.postid', 'pa.parentid', 'pa.id']",0,0,0,3241,0.0,0.0,0.0006666666666667333,1.0,17.0,0.0,0.0,0.0,0.0,16.0,2048.0,4.0,1.255272505103306,0,0.000289433187589212,mathso,ce_mathso
1675,6,Hash Join,False,Inner,False,Hash,1,['t.id'],0,0,0,1,0.0,0.0,0.002,1.0,16.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,1.2304489213782739,0,0.0008677215312269133,mathso,ce_mathso
1675,6,Hash Join,False,Inner,False,Hash,1065,"['posts.body', 'posts.id', 'pa.id']",0,0,0,1065,0.0,0.0,0.00033333333333336666,1.0,18.0,0.0,0.0,0.0,0.0,16.0,2048.0,1.0,1.2787536009528289,0,0.00014474070519017137,mathso,ce_mathso
