query_id,treatment_id,parent_node,Parent Relationship,Join Type,Parallel Aware,Hash Cond,Node Type,Plan Rows,Output,Plan Width,Join Filter,left_child_input_actual_rows,left_child_input_rows,right_child_input_actual_rows,right_child_input_rows,output_rows,input_rows,execution_time,Actual Loops,Shared Read Blocks,Self Shared Read Blocks,Self Shared Hit Blocks,Temp Read Blocks,Temp Written Blocks,execution_log_time,shared_read_blocks_log,run_id,dbname,data_folder_name
952,0,Sort,Outer,Inner,False,(posts.owneruserid = users.id),Hash Join,1877413,"['users.id', 'users.displayname', 'posts.id', 'posts.score']",23,0,2007956,1959517,952172,952172,1930342,2960128,1614.2782857142859,1.0,82908.0,0.0,0.0,12268.0,12268.0,3.2082473548643953,4.91860167696984,0,mathso,ce_mathso
952,6,Aggregate,Outer,Inner,False,(posts.owneruserid = users.id),Hash Join,1877413,"['users.id', 'users.displayname', 'posts.id', 'posts.score']",23,0,2007956,1959517,952172,952172,1930342,2960128,693.8035714285714,1.0,82908.0,0.0,0.0,4747.0,4747.0,2.8418620421408276,4.91860167696984,0,mathso,ce_mathso
1080,0,Sort,Outer,Inner,False,(votes.postid = posts.id),Hash Join,33658,['posts.owneruserid'],4,0,34655,33658,3557569,3557569,33060,3592224,2622.971,1.0,139815.0,0.0,0.0,17664.0,17675.0,3.4189590309286335,5.145556873227284,0,mathso,ce_mathso
1080,6,Sort,Outer,Inner,False,(votes.postid = posts.id),Hash Join,33658,['posts.owneruserid'],4,0,34655,33658,3557569,3557569,33060,3592224,449.4656666666668,1.0,139815.0,0.0,0.0,10672.0,10672.0,2.6536616957691814,5.145556873227284,0,mathso,ce_mathso
1675,0,Hash,Outer,Inner,False,(pa.parentid = pt.postid),Hash Join,3241,"['pt.postid', 'pa.parentid', 'pa.id']",12,0,1,3557569,0,1874,0,1,0.0153333333333334,1.0,17.0,0.0,0.0,0.0,0.0,0.006608644280361374,1.255272505103306,0,mathso,ce_mathso
1675,0,Hash,Outer,Inner,False,(posts.id = pt.postid),Hash Join,1065,"['posts.body', 'posts.id', 'pa.id']",40,0,1,3557569,0,3241,0,1,0.0236666666666667,1.0,18.0,0.0,0.0,0.0,0.0,0.010158561723406487,1.2787536009528289,0,mathso,ce_mathso
1675,0,Hash,Outer,Inner,False,(pt.tagid = t.id),Hash Join,1874,['pt.postid'],4,0,1,3641094,0,1,0,1,0.039,1.0,17.0,0.0,0.0,0.0,0.0,0.016615547557177382,1.255272505103306,0,mathso,ce_mathso
1675,0,Sort,Outer,Inner,False,(v.postid = pa.id),Hash Join,3732,"[""CASE WHEN (posts.body ~~ '%vb6%'::text) THEN 1 ELSE 0 END"", 'v.votetypeid', 'posts.id']",12,0,1,12465841,0,1065,0,1,0.03766666666666657,1.0,19.0,0.0,0.0,0.0,0.0,0.016057865962852774,1.3010299956639813,0,mathso,ce_mathso
1675,6,Hash,Outer,Inner,False,(pa.parentid = posts.id),Hash Join,1065,"['posts.body', 'posts.id', 'pa.id']",40,0,1,3557569,0,1874,0,1,0.010999999999999899,1.0,18.0,0.0,0.0,0.0,0.0,0.00475115559100102,1.2787536009528289,0,mathso,ce_mathso
1675,6,Hash,Outer,Inner,False,(posts.id = pt.postid),Hash Join,1874,"['pt.postid', 'posts.body', 'posts.id']",40,0,1,3557569,0,1874,0,1,0.0123333333333334,1.0,17.0,0.0,0.0,0.0,0.0,0.00532353719860276,1.255272505103306,0,mathso,ce_mathso
