query_id,treatment_id,parent_node,Alias,input_rows,output_rows,Async Capable,Parent Relationship,Filter,Index Cond,Schema,Parallel Aware,Node Type,Output,Relation Name,Rows Removed by Filter,execution_time,Actual Loops,I/O Read Time,I/O Write Time,Shared Read Blocks,Shared Hit Blocks,Self Shared Read Blocks,Self Shared Hit Blocks,Plan Rows,execution_log_time,shared_read_blocks_log,run_id,dbname,data_folder_name
947,9,Aggregate,comments,6585919.0,0,False,Outer,0,(comments.userid = 279573),public,False,Index Scan,"['id', 'postid', 'score', 'text', 'creationdate', 'userid', 'jsonfield']",comments,0.0,0.5975,1.0,0.589,0.0,3.0,0.0,3.0,0.0,296.0,0.2034408668304378,0.6020599913279624,0,mathso,ce_mathso
947,18,Aggregate,comments,6585919.0,0,False,Outer,0,(comments.userid = 279573),public,False,Index Scan,"['id', 'postid', 'score', 'text', 'creationdate', 'userid', 'jsonfield']",comments,0.0,0.46799999999999997,1.0,0.4605,0.0,3.0,0.0,3.0,0.0,296.0,0.1667260555800517,0.6020599913279624,0,mathso,ce_mathso
947,24,Aggregate,comments,6585919.0,0,False,Outer,0,(comments.userid = 279573),public,False,Index Scan,"['id', 'postid', 'score', 'text', 'creationdate', 'userid', 'jsonfield']",comments,0.0,0.525,1.0,0.5125,0.0,3.0,0.0,3.0,0.0,296.0,0.1832698436828046,0.6020599913279624,0,mathso,ce_mathso
951,9,Sort,posts,3557569.0,123721,False,Outer,((posts.acceptedanswerid IS NULL) AND (posts.score > 2) AND (posts.viewcount <> 0)),(posts.parentid IS NULL),public,False,Index Scan,"['id', 'score', 'viewcount']",posts,1407906.0,519.268,1.0,249.2815,0.0,61461.0,0.0,61461.0,0.0,124448.0,2.716227114670196,4.78860668828013,0,mathso,ce_mathso
951,18,Sort,posts,3557569.0,123721,False,Outer,((posts.acceptedanswerid IS NULL) AND (posts.score > 2) AND (posts.viewcount <> 0)),(posts.parentid IS NULL),public,False,Index Scan,"['id', 'score', 'viewcount']",posts,1407906.0,494.02099999999996,1.0,234.6395,0.0,61461.0,0.0,61461.0,0.0,124448.0,2.6946236231571383,4.78860668828013,0,mathso,ce_mathso
951,24,Sort,posts,3557569.0,123721,False,Outer,((posts.acceptedanswerid IS NULL) AND (posts.score > 2) AND (posts.viewcount <> 0)),(posts.parentid IS NULL),public,False,Index Scan,"['id', 'score', 'viewcount']",posts,1407906.0,684.564,1.0,316.251,0.0,61461.0,0.0,61461.0,0.0,124448.0,2.836048004055399,4.78860668828013,0,mathso,ce_mathso
1263,9,Sort,comments,6585919.0,0,False,Outer,(comments.score IS NOT NULL),(comments.userid = 95371),public,False,Index Scan,"['postid', 'score', 'text', 'creationdate']",comments,0.0,0.6094999999999999,1.0,0.601,0.0,3.0,0.0,3.0,0.0,296.0,0.2066909810216323,0.6020599913279624,0,mathso,ce_mathso
1263,18,Sort,comments,6585919.0,0,False,Outer,(comments.score IS NOT NULL),(comments.userid = 95371),public,False,Index Scan,"['postid', 'score', 'text', 'creationdate']",comments,0.0,0.5435,1.0,0.536,0.0,3.0,0.0,3.0,0.0,296.0,0.18850663381811414,0.6020599913279624,0,mathso,ce_mathso
1263,24,Sort,comments,6585919.0,0,False,Outer,(comments.score IS NOT NULL),(comments.userid = 95371),public,False,Index Scan,"['postid', 'score', 'text', 'creationdate']",comments,0.0,0.475,1.0,0.459,0.0,3.0,0.0,3.0,0.0,296.0,0.16879202031418183,0.6020599913279624,0,mathso,ce_mathso
2468,9,Sort,q,3557569.0,1,False,Outer,(q.posttypeid = 1),(q.owneruserid = 141894),public,False,Index Scan,"['id', ""CASE WHEN (acceptedanswerid IS NOT NULL) THEN 'Accepted'::text ELSE NULL::text END"", 'score', 'creationdate']",posts,0.0,0.76,1.0,0.746,0.0,4.0,0.0,4.0,0.0,50.0,0.24551266781414982,0.6989700043360189,0,mathso,ce_mathso
