query_id,treatment_id,parent_node,Alias,input_rows,output_rows,Async Capable,Parent Relationship,Filter,Schema,Parallel Aware,Node Type,Output,Relation Name,Rows Removed by Filter,execution_time,Actual Loops,I/O Read Time,I/O Write Time,Shared Read Blocks,Shared Hit Blocks,Self Shared Read Blocks,Self Shared Hit Blocks,Plan Rows,execution_log_time,shared_read_blocks_log,run_id,dbname,data_folder_name
947,0,Sort,comments,6585919,0,False,Outer,(comments.userid = 279573),public,False,Seq Scan,['score'],comments,6585919.0,1078.18,1.0,489.316,0.0,177043.0,0.0,177043.0,0.0,296.0,3.033093888137047,5.248081213155437,0,mathso,ce_mathso
947,9,Sort,comments,6585919,0,False,Outer,(comments.userid = 279573),public,False,Seq Scan,['score'],comments,6585919.0,1038.8173333333334,1.0,460.05633333333327,0.0,177043.0,0.0,177043.0,0.0,296.0,3.0169570526708216,5.248081213155437,0,mathso,ce_mathso
951,0,Sort,posts,3557569,123721,False,Outer,((posts.parentid IS NULL) AND (posts.acceptedanswerid IS NULL) AND (posts.score > 2) AND (posts.viewcount <> 0)),public,False,Seq Scan,"['id', 'score', 'viewcount']",posts,3433848.0,470.411,1.0,162.604,0.0,60169.0,0.0,60169.0,0.0,124448.0,2.67339971222217,4.779380011491656,0,mathso,ce_mathso
951,9,Sort,posts,3557569,123721,False,Outer,((posts.parentid IS NULL) AND (posts.acceptedanswerid IS NULL) AND (posts.score > 2) AND (posts.viewcount <> 0)),public,False,Seq Scan,"['id', 'score', 'viewcount']",posts,3433848.0,467.2573333333333,1.0,159.12833333333333,0.0,60169.0,0.0,60169.0,0.0,124448.0,2.6704845875448977,4.779380011491656,0,mathso,ce_mathso
952,0,Hash,users,952172,952172,False,Outer,0,public,False,Seq Scan,"['users.id', 'users.displayname']",users,0.0,185.43971428571427,1.0,62.416999999999994,0.0,22739.0,0.0,22739.0,0.0,952172.0,2.2705384287154247,4.356790460351716,0,mathso,ce_mathso
952,0,Hash Join,posts,3557569,2007956,False,Outer,((posts.communityowneddate IS NULL) AND (posts.closeddate IS NULL) AND (posts.posttypeid = 2)),public,False,Seq Scan,"['posts.id', 'posts.score', 'posts.owneruserid']",posts,1549613.0,804.0357142857143,1.0,170.6062857142857,0.0,60169.0,0.0,60169.0,0.0,1959517.0,2.905815147663713,4.779380011491656,0,mathso,ce_mathso
952,6,Hash,users,952172,952172,False,Outer,0,public,False,Seq Scan,"['users.id', 'users.displayname']",users,0.0,184.06571428571428,1.0,60.980000000000004,0.0,22739.0,0.0,22739.0,0.0,952172.0,2.2673259677765425,4.356790460351716,0,mathso,ce_mathso
952,6,Hash Join,posts,3557569,2007956,False,Outer,((posts.communityowneddate IS NULL) AND (posts.closeddate IS NULL) AND (posts.posttypeid = 2)),public,False,Seq Scan,"['posts.id', 'posts.score', 'posts.owneruserid']",posts,1549613.0,778.0607142857143,1.0,155.59242857142857,0.0,60169.0,0.0,60169.0,0.0,1959517.0,2.891571304722336,4.779380011491656,0,mathso,ce_mathso
1080,0,Hash,posts,3557569,3557569,False,Outer,0,public,False,Seq Scan,"['posts.owneruserid', 'posts.id']",posts,0.0,722.4355,1.0,181.33474999999999,0.0,60169.0,0.0,60169.0,0.0,3557569.0,2.859399816391074,4.779380011491656,0,mathso,ce_mathso
1080,0,Hash Join,votes,12465841,34655,False,Outer,(votes.votetypeid = 9),public,False,Seq Scan,['votes.postid'],votes,12431186.0,1039.8895,1.0,236.49325,0.0,79646.0,0.0,79646.0,0.0,33658.0,3.0174046276013855,4.901169422221485,0,mathso,ce_mathso
1080,6,Hash,posts,3557569,3557569,False,Outer,0,public,False,Seq Scan,"['posts.owneruserid', 'posts.id']",posts,0.0,628.1763333333333,1.0,151.60066666666668,0.0,60169.0,0.0,60169.0,0.0,3557569.0,2.7987723781342644,4.779380011491656,0,mathso,ce_mathso
1080,6,Hash Join,votes,12465841,34655,False,Outer,(votes.votetypeid = 9),public,False,Seq Scan,['votes.postid'],votes,12431186.0,877.3453333333333,1.0,197.15166666666667,0.0,79646.0,0.0,79646.0,0.0,33658.0,2.943665298223418,4.901169422221485,0,mathso,ce_mathso
1247,0,Sort,posts,3557569,3557569,False,Outer,0,public,False,Seq Scan,"['posttypeid', ""CASE WHEN (parentid IS NULL) THEN 'ParentId NULL'::text ELSE 'ParentId not null'::text END""]",posts,0.0,622.071,1.0,161.001,0.0,60169.0,0.0,60169.0,0.0,3557569.0,2.7945375380737816,4.779380011491656,0,mathso,ce_mathso
1247,6,Aggregate,posts,3557569,3557569,False,Outer,0,public,False,Seq Scan,"['posttypeid', ""CASE WHEN (parentid IS NULL) THEN 'ParentId NULL'::text ELSE 'ParentId not null'::text END""]",posts,0.0,587.484,1.0,147.05742857142857,0.0,60169.0,0.0,60169.0,0.0,3557569.0,2.7697346595224066,4.779380011491656,0,mathso,ce_mathso
1263,0,Sort,comments,6585919,0,False,Outer,((comments.score IS NOT NULL) AND (comments.userid = 95371)),public,False,Seq Scan,"['postid', 'score', 'text', 'creationdate']",comments,6585919.0,1072.394,1.0,469.159,0.0,177043.0,0.0,177043.0,0.0,296.0,3.0307591633618847,5.248081213155437,0,mathso,ce_mathso
1263,9,Sort,comments,6585919,0,False,Outer,((comments.score IS NOT NULL) AND (comments.userid = 95371)),public,False,Seq Scan,"['postid', 'score', 'text', 'creationdate']",comments,6585919.0,1057.573,1.0,459.19866666666667,0.0,177043.0,0.0,177043.0,0.0,296.0,3.024720812666253,5.248081213155437,0,mathso,ce_mathso
1527,0,0,users,952172,1,False,0,(users.id = 599133),public,False,Seq Scan,"['id', 'reputation', 'creationdate', 'displayname', 'lastaccessdate', 'websiteurl', 'location', 'aboutme', 'views', 'upvotes', 'downvotes', 'profileimageurl', 'age', 'accountid', 'jsonfield']",users,952171.0,126.321,1.0,63.863,0.0,22739.0,0.0,22739.0,0.0,1.0,2.104900040982396,4.356790460351716,0,mathso,ce_mathso
1527,9,0,users,952172,1,False,0,(users.id = 599133),public,False,Seq Scan,"['id', 'reputation', 'creationdate', 'displayname', 'lastaccessdate', 'websiteurl', 'location', 'aboutme', 'views', 'upvotes', 'downvotes', 'profileimageurl', 'age', 'accountid', 'jsonfield']",users,952171.0,128.9438,1.0,66.0892,0.0,22739.0,0.0,22739.0,0.0,1.0,2.113755562867248,4.356790460351716,0,mathso,ce_mathso
1527,18,0,users,952172,1,False,0,(users.id = 599133),public,False,Seq Scan,"['id', 'reputation', 'creationdate', 'displayname', 'lastaccessdate', 'websiteurl', 'location', 'aboutme', 'views', 'upvotes', 'downvotes', 'profileimageurl', 'age', 'accountid', 'jsonfield']",users,952171.0,128.068,1.0,65.169,0.0,22739.0,0.0,22739.0,0.0,1.0,2.1108185804067623,4.356790460351716,0,mathso,ce_mathso
1527,24,0,users,952172,1,False,0,(users.id = 599133),public,False,Seq Scan,"['id', 'reputation', 'creationdate', 'displayname', 'lastaccessdate', 'websiteurl', 'location', 'aboutme', 'views', 'upvotes', 'downvotes', 'profileimageurl', 'age', 'accountid', 'jsonfield']",users,952171.0,179.895,1.0,91.699,0.0,22739.0,0.0,22739.0,0.0,1.0,2.2574265629768986,4.356790460351716,0,mathso,ce_mathso
1675,0,Hash,t,1943,0,False,Outer,(t.tagname = 'sql'::text),public,False,Seq Scan,['t.id'],tags,1943.0,1.2793333333333334,1.0,1.0556666666666665,0.0,16.0,0.0,16.0,0.0,1.0,0.35780784174091346,1.2304489213782739,0,mathso,ce_mathso
1675,0,Hash Join,pa,3557569,1,False,Outer,0,public,False,Seq Scan,"['pa.parentid', 'pa.id']",posts,0.0,0.005999999999999999,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3557569.0,0.0025979807199085947,0.0,0,mathso,ce_mathso
1675,0,Hash Join,posts,3557569,1,False,Outer,0,public,False,Seq Scan,"['posts.body', 'posts.id']",posts,0.0,0.21733333333333335,1.0,0.19999999999999998,0.0,1.0,0.0,1.0,0.0,3557569.0,0.08540951414259891,0.3010299956639812,0,mathso,ce_mathso
1675,0,Hash Join,pt,3641094,1,False,Outer,0,public,False,Seq Scan,"['pt.postid', 'pt.tagid']",posttags,0.0,0.24833333333333332,1.0,0.22833333333333336,0.0,1.0,0.0,1.0,0.0,3641094.0,0.09633056731582283,0.3010299956639812,0,mathso,ce_mathso
1675,0,Hash Join,v,12465841,1,False,Outer,0,public,False,Seq Scan,"['v.votetypeid', 'v.postid']",votes,0.0,0.233,1.0,0.21733333333333335,0.0,1.0,0.0,1.0,0.0,12465841.0,0.09096307659573168,0.3010299956639812,0,mathso,ce_mathso
1675,6,Hash,t,1943,0,False,Outer,(t.tagname = 'sql'::text),public,False,Seq Scan,['t.id'],tags,1943.0,0.9586666666666667,1.0,0.824,0.0,16.0,0.0,16.0,0.0,1.0,0.29196053239855646,1.2304489213782739,0,mathso,ce_mathso
1675,6,Hash Join,pa,3557569,1,False,Outer,0,public,False,Seq Scan,"['pa.id', 'pa.posttypeid', 'pa.acceptedanswerid', 'pa.parentid', 'pa.creationdate', 'pa.score', 'pa.viewcount', 'pa.body', 'pa.owneruserid', 'pa.lasteditoruserid', 'pa.lasteditordisplayname', 'pa.lasteditdate', 'pa.lastactivitydate', 'pa.title', 'pa.tags', 'pa.answercount', 'pa.commentcount', 'pa.favoritecount', 'pa.closeddate', 'pa.communityowneddate', 'pa.jsonfield']",posts,0.0,0.18533333333333335,1.0,0.18166666666666667,0.0,1.0,0.0,1.0,0.0,3557569.0,0.07384049757851366,0.3010299956639812,0,mathso,ce_mathso
1675,6,Hash Join,posts,3557569,1,False,Outer,0,public,False,Seq Scan,"['posts.id', 'posts.posttypeid', 'posts.acceptedanswerid', 'posts.parentid', 'posts.creationdate', 'posts.score', 'posts.viewcount', 'posts.body', 'posts.owneruserid', 'posts.lasteditoruserid', 'posts.lasteditordisplayname', 'posts.lasteditdate', 'posts.lastactivitydate', 'posts.title', 'posts.tags', 'posts.answercount', 'posts.commentcount', 'posts.favoritecount', 'posts.closeddate', 'posts.communityowneddate', 'posts.jsonfield']",posts,0.0,0.004333333333333334,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3557569.0,0.001877876953694688,0.0,0,mathso,ce_mathso
1675,6,Hash Join,pt,3641094,1,False,Outer,0,public,False,Seq Scan,"['pt.postid', 'pt.tagid']",posttags,0.0,0.15966666666666665,1.0,0.15566666666666665,0.0,1.0,0.0,1.0,0.0,3641094.0,0.06433317402792649,0.3010299956639812,0,mathso,ce_mathso
1675,6,Hash Join,v,12465841,1,False,Outer,0,public,False,Seq Scan,"['v.id', 'v.postid', 'v.votetypeid', 'v.userid', 'v.creationdate', 'v.bountyamount', 'v.jsonfield']",votes,0.0,0.26766666666666666,1.0,0.25433333333333336,0.0,1.0,0.0,1.0,0.0,12465841.0,0.10300507069192004,0.3010299956639812,0,mathso,ce_mathso
1933,0,Aggregate,p,3557569,33120,False,Outer,((p.owneruserid = users.id) AND (p.posttypeid = 1)),public,False,Seq Scan,"['p.id', 'p.posttypeid', 'p.acceptedanswerid', 'p.parentid', 'p.creationdate', 'p.score', 'p.viewcount', 'p.body', 'p.owneruserid', 'p.lasteditoruserid', 'p.lasteditordisplayname', 'p.lasteditdate', 'p.lastactivitydate', 'p.title', 'p.tags', 'p.answercount', 'p.commentcount', 'p.favoritecount', 'p.closeddate', 'p.communityowneddate', 'p.jsonfield']",posts,3557329.0,64858.435999999994,138.0,17003.326666666664,0.0,8294490.0,8832.0,60105.0,64.0,59.0,4.811973167846778,6.91878974024901,0,mathso,ce_mathso
1933,0,Hash,a,3557569,3557569,False,Outer,0,public,False,Seq Scan,"['a.id', 'a.owneruserid']",posts,0.0,747.7539999999999,1.0,190.04599999999996,0.0,60168.0,1.0,60168.0,1.0,3557569.0,2.8743391554952473,4.77937279364072,0,mathso,ce_mathso
1933,0,Hash Join,q,3557569,3557569,False,Outer,0,public,False,Seq Scan,"['q.acceptedanswerid', 'q.owneruserid']",posts,0.0,665.5813333333334,1.0,134.981,0.0,60137.0,32.0,60137.0,32.0,3557569.0,2.823853147692591,4.779148980741438,0,mathso,ce_mathso
1933,0,Hash Join,users,952172,952172,False,Outer,0,public,False,Seq Scan,"['users.id', 'users.reputation', 'users.creationdate', 'users.displayname', 'users.lastaccessdate', 'users.websiteurl', 'users.location', 'users.aboutme', 'users.views', 'users.upvotes', 'users.downvotes', 'users.profileimageurl', 'users.age', 'users.accountid', 'users.jsonfield']",users,0.0,171.7266666666667,1.0,75.07233333333333,0.0,22739.0,0.0,22739.0,0.0,952172.0,2.2373593919516432,4.356790460351716,0,mathso,ce_mathso
1933,6,Aggregate,p,3557569,33120,False,Outer,((p.owneruserid = users.id) AND (p.posttypeid = 1)),public,False,Seq Scan,"['p.id', 'p.posttypeid', 'p.acceptedanswerid', 'p.parentid', 'p.creationdate', 'p.score', 'p.viewcount', 'p.body', 'p.owneruserid', 'p.lasteditoruserid', 'p.lasteditordisplayname', 'p.lasteditdate', 'p.lastactivitydate', 'p.title', 'p.tags', 'p.answercount', 'p.commentcount', 'p.favoritecount', 'p.closeddate', 'p.communityowneddate', 'p.jsonfield']",posts,3557329.0,52994.25400000001,138.0,13200.385333333334,0.0,8294490.0,8832.0,60105.0,64.0,59.0,4.7242369780177285,6.91878974024901,0,mathso,ce_mathso
1933,6,Hash,a,3557569,3557569,False,Outer,0,public,False,Seq Scan,"['a.id', 'a.owneruserid']",posts,0.0,613.5233333333333,1.0,145.236,0.0,60168.0,1.0,60168.0,1.0,3557569.0,2.7885383776138877,4.77937279364072,0,mathso,ce_mathso
